stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
1,0,1,1,0.0427,success,0.0,0.0,0.0,1e-06,0.0,3.7e-05,0.0004,0.017467,0.0,0.000678,0.022675,0.0,1.0,18.0,724.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0.0229,success,0.0,0.148119,0.0,0.0,0.0,2.8e-05,0.000279,0.010877,0.0,0.00055,0.010936,0.0,1.0,21.0,810.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1,0.0019,success,0.0,0.0,0.0,1e-06,0.0,1.7e-05,2e-05,0.000109,0.0,4.6e-05,0.001655,0.0,1.0,2.0,137.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,0.0009,success,0.0,0.0,0.0,0.0,0.0,2e-05,3e-06,1.8e-05,0.0,3.2e-05,0.000769,0.0,1.0,1.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,1,0.0475,success,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000424,0.029001,0.0,0.000591,0.017239,0.0,1.0,38.0,1376.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
