Tue Mar 17 14:41:37 2026    /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/reports/_support/plan_profile_stage1_seed0_20260317_144137.prof

         344377 function calls (342343 primitive calls) in 0.357 seconds

   Ordered by: cumulative time
   List reduced from 1494 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.357    0.357 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:1006(run_stage_trial)
        1    0.000    0.000    0.186    0.186 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:895(setup_stage1_scene)
        1    0.000    0.000    0.179    0.179 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/env_manager/simulation.py:201(load_pybullet)
        1    0.179    0.179    0.179    0.179 {built-in method pybullet.loadURDF}
        1    0.000    0.000    0.081    0.081 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:205(validate_stage_trajectory)
        1    0.000    0.000    0.081    0.081 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:97(save_validation_plot)
        1    0.000    0.000    0.060    0.060 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.060    0.060 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
        1    0.000    0.000    0.057    0.057 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:647(plan_pose_rrt)
        2    0.000    0.000    0.056    0.028 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.056    0.028 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        2    0.000    0.000    0.056    0.028 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
        1    0.000    0.000    0.040    0.040 /opt/venv/lib/python3.10/site-packages/matplotlib/image.py:1526(imsave)
        1    0.000    0.000    0.040    0.040 /opt/venv/lib/python3.10/site-packages/PIL/Image.py:2476(save)
        1    0.000    0.000    0.037    0.037 /opt/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:1325(_save)
        1    0.000    0.000    0.037    0.037 /opt/venv/lib/python3.10/site-packages/PIL/ImageFile.py:641(_save)
        1    0.000    0.000    0.037    0.037 /opt/venv/lib/python3.10/site-packages/PIL/ImageFile.py:669(_encode_tile)
        2    0.037    0.018    0.037    0.018 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.032    0.032 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:1230(build_validation_joint_path)
        8    0.000    0.000    0.031    0.004 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:341(solve_dual_arm_pose_ik)
       18    0.000    0.000    0.031    0.002 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:164(nearest_node)
      115    0.001    0.000    0.031    0.000 {built-in method builtins.min}
    13868    0.006    0.000    0.030    0.000 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:176(<lambda>)
       17    0.000    0.000    0.030    0.002 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:277(solve_single_arm_ik)
       17    0.027    0.002    0.027    0.002 {built-in method pybullet.calculateInverseKinematics}
16877/16235    0.004    0.000    0.025    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       18    0.002    0.000    0.024    0.001 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:444(extend_toward)
    14005    0.003    0.000    0.023    0.000 <__array_function__ internals>:177(norm)
     1451    0.004    0.000    0.018    0.000 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:119(pose_to_feature_vec)
    14005    0.011    0.000    0.018    0.000 /opt/venv/lib/python3.10/site-packages/numpy/linalg/linalg.py:2342(norm)


