resolution_label,position_res,rotation_res,stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
pos=0.050m rot=0.100rad,0.05,0.1,1,0,1,1,0.0152,success,0.0,0.0,0.0,1e-06,0.0,2.5e-05,0.000258,0.007883,0.0,0.000525,0.006281,0.0,1.0,18.0,333.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,0,1,0,1.0135,collision_failure,0.417579,0.417579,0.0,1e-06,0.0,3.5e-05,0.000773,0.013815,0.98644,7.8e-05,0.998478,0.0,1.0,52.0,201.0,249.0,0.0,538.0,86.0,206.0,6.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,3,0,1,1,1.1772,success,0.407812,0.407812,0.0,0.001495,0.0,2.1e-05,0.001384,0.013317,1.044078,6.1e-05,1.16055,0.0,1.0,93.0,122.0,212.0,29.0,477.0,112.0,156.0,6.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,1,0,1,1,0.0209,success,0.0,0.0,0.0,1e-06,0.0,2.1e-05,0.000271,0.011157,0.0,0.000524,0.008715,0.0,1.0,18.0,503.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,0,1,0,0.6245,collision_failure,0.470775,0.470775,0.0,1e-06,0.0,3e-05,0.000387,0.003922,0.609259,5.8e-05,0.619888,0.0,1.0,18.0,193.0,208.0,0.0,431.0,30.0,193.0,1.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,0,0,0,1.214,collision_failure,0.0,0.0,0.0,0.001538,0.0,2.7e-05,0.001833,0.012603,1.114831,0.0,1.196818,0.0,1.0,100.0,61.0,160.0,30.0,389.0,138.0,91.0,1.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,0,1,1,0.0316,success,0.0,0.0,0.0,1e-06,0.0,2.5e-05,0.000273,0.01651,0.0,0.000555,0.013938,0.0,1.0,18.0,724.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,0,1,0,0.7079,collision_failure,0.349286,0.349286,0.0,1e-06,0.0,4.1e-05,0.000337,0.004879,0.69023,6e-05,0.702303,0.0,1.0,18.0,231.0,246.0,0.0,508.0,32.0,230.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,0,1,1,1.5329,success,0.284233,0.284233,0.0,0.001485,0.0,2.3e-05,0.001344,0.030483,1.239463,6.3e-05,1.499043,0.0,1.0,93.0,278.0,368.0,58.0,769.0,66.0,335.0,0.0,0.0,0.0,0.0
