Tue Mar 17 13:06:14 2026    /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/reports/_support/plan_profile_stage3_seed0_20260317_130558.prof

         2579335 function calls (2527113 primitive calls) in 2.102 seconds

   Ordered by: cumulative time
   List reduced from 1901 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.107    2.107 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:1090(run_stage_trial)
        1    0.000    0.000    1.532    1.532 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:733(plan_pose_rrt)
       93    0.002    0.000    1.498    0.016 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:430(extend_toward)
      370    0.002    0.000    1.250    0.003 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:332(solve_dual_arm_pose_ik)
      773    0.003    0.000    1.162    0.002 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:269(solve_single_arm_ik)
      773    1.063    0.001    1.063    0.001 {built-in method pybullet.calculateInverseKinematics}
        1    0.001    0.001    0.447    0.447 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:172(validate_stage_trajectory)
      591    0.016    0.000    0.316    0.001 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:469(collision_fn)
        1    0.000    0.000    0.306    0.306 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:83(save_validation_plot)
   194570    0.032    0.000    0.282    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:92(pairwise_link_collision)
   194570    0.020    0.000    0.245    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:32(pairwise_link_collision_info)
      337    0.000    0.000    0.233    0.001 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:243(<lambda>)
   194570    0.226    0.000    0.226    0.000 {built-in method pybullet.getClosestPoints}
        1    0.000    0.000    0.178    0.178 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.178    0.178 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
        2    0.000    0.000    0.133    0.067 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.133    0.067 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        2    0.000    0.000    0.133    0.067 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
60215/39165    0.015    0.000    0.125    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.107    0.107 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3608(tight_layout)
        1    0.000    0.000    0.107    0.107 /opt/venv/lib/python3.10/site-packages/matplotlib/layout_engine.py:168(execute)
        1    0.000    0.000    0.107    0.107 /opt/venv/lib/python3.10/site-packages/matplotlib/_tight_layout.py:194(get_tight_layout_figure)
        2    0.000    0.000    0.107    0.053 /opt/venv/lib/python3.10/site-packages/matplotlib/_tight_layout.py:20(_auto_adjust_subplotpars)
     18/6    0.000    0.000    0.106    0.018 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:1395(_get_tightbbox_for_layout_only)
        6    0.000    0.000    0.106    0.018 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:4498(get_tightbbox)
       24    0.000    0.000    0.098    0.004 /opt/venv/lib/python3.10/site-packages/matplotlib/axis.py:1337(get_tightbbox)
        2    0.000    0.000    0.095    0.047 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:92(draw_wrapper)
    630/2    0.001    0.000    0.095    0.047 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:53(draw_wrapper)
        2    0.000    0.000    0.095    0.047 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3237(draw)
      8/2    0.000    0.000    0.094    0.047 /opt/venv/lib/python3.10/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)


