resolution_label,position_res,rotation_res,stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
pos=0.030m rot=0.070rad,0.03,0.07,2,0,0,0,1.7497,continuity_failure,0.0,0.0,0.0,1e-06,0.0,2.3e-05,0.001404,0.02733,1.701332,2.1e-05,1.720099,0.0,1.0,100.0,219.0,317.0,0.0,702.0,138.0,248.0,30.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,1,0,0,1.4782,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.001039,0.018225,1.44336,3.2e-05,1.457901,0.0,1.0,100.0,277.0,373.0,0.0,813.0,136.0,305.0,29.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,2,0,0,1.8432,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.001009,0.022759,1.802714,2.2e-05,1.818657,0.0,1.0,100.0,350.0,447.0,0.0,957.0,130.0,382.0,33.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,3,0,0,2.1008,continuity_failure,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.001016,0.038389,2.039979,2.1e-05,2.060784,0.0,1.0,100.0,547.0,644.0,0.0,1350.0,124.0,582.0,36.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,4,0,0,1.9393,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.001052,0.034208,1.882759,4.2e-05,1.903493,0.0,1.0,100.0,550.0,645.0,0.0,1351.0,122.0,584.0,35.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,0,0,0,0.9489,collision_failure,0.0,0.0,0.0,0.00154,0.0,2.3e-05,0.001355,0.01552,0.841531,0.0,0.929767,0.0,1.0,100.0,74.0,173.0,34.0,381.0,76.0,135.0,28.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,1,1,1,1.0878,success,0.173477,0.173477,0.0,0.001267,0.0,1.8e-05,0.000877,0.007958,0.951834,2e-05,1.077417,0.0,1.0,89.0,181.0,268.0,27.0,578.0,84.0,226.0,19.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,2,0,0,1.4613,collision_failure,0.0,0.0,0.0,0.001245,0.0,1.7e-05,0.001317,0.02366,1.242753,1.3e-05,1.43463,0.0,1.0,100.0,269.0,367.0,30.0,774.0,82.0,326.0,28.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,3,0,0,1.0645,collision_failure,0.0,0.0,0.0,0.001225,0.0,1.9e-05,0.001008,0.01658,0.865261,2.6e-05,1.045238,0.0,1.0,100.0,245.0,342.0,59.0,698.0,28.0,328.0,25.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,4,0,0,1.0716,collision_failure,0.0,0.0,0.0,0.001255,0.0,1.9e-05,0.001057,0.012982,0.9334,0.0,1.055901,0.0,1.0,100.0,162.0,261.0,38.0,557.0,72.0,225.0,26.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,0,1,1,0.0301,success,0.0,0.0,0.0,1e-06,0.0,8.7e-05,0.000249,0.016374,0.0,0.000509,0.012622,0.0,1.0,18.0,724.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,1,1,1,0.0206,success,0.0,0.148119,0.0,0.0,0.0,1.7e-05,0.000204,0.01007,0.0,0.000294,0.009801,0.0,1.0,21.0,810.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,2,1,1,0.002,success,0.0,0.0,0.0,1e-06,0.0,3.6e-05,2.3e-05,0.000129,0.0,6e-05,0.001659,0.0,1.0,2.0,137.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,3,1,1,0.0011,success,0.0,0.0,0.0,0.0,0.0,3.3e-05,3e-06,2.3e-05,0.0,3.8e-05,0.000902,0.0,1.0,1.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,4,1,1,0.0472,success,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000388,0.029611,0.0,0.000532,0.016432,0.0,1.0,38.0,1376.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,0,1,0,0.7602,collision_failure,0.192923,0.192923,0.0,7e-06,0.0,3.4e-05,0.000297,0.006408,0.738972,5.9e-05,0.753174,0.0,1.0,18.0,280.0,295.0,0.0,601.0,22.0,284.0,5.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,1,1,1,1.0677,success,0.168661,0.168661,0.0,1e-06,0.0,2.1e-05,0.000275,0.005124,1.048661,1.8e-05,1.061992,0.0,1.0,21.0,416.0,435.0,0.0,885.0,30.0,420.0,5.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,2,0,0,3.0338,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.9e-05,0.001141,0.048758,2.950271,4.4e-05,2.982956,0.0,1.0,97.0,872.0,963.0,0.0,1996.0,144.0,891.0,20.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,3,0,0,3.0872,continuity_failure,0.0,0.0,0.0,0.0,0.0,2.2e-05,0.001074,0.063204,2.986547,8.8e-05,3.021972,0.0,1.0,99.0,1004.0,1093.0,0.0,2254.0,136.0,1025.0,22.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,4,1,0,1.6208,collision_failure,0.182194,0.182194,0.0,0.0,0.0,1.7e-05,0.000498,0.012713,1.589642,5.3e-05,1.607312,0.0,1.0,38.0,509.0,542.0,0.0,1113.0,60.0,512.0,4.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,0,0,0,1.4218,collision_failure,0.0,0.0,0.0,0.00152,0.0,2.3e-05,0.001434,0.03007,1.178786,0.0,1.388134,0.0,1.0,100.0,220.0,319.0,48.0,673.0,70.0,284.0,17.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,1,1,1,0.5702,success,0.168661,0.168661,0.0,0.001234,0.0,1.9e-05,0.000263,0.003151,0.420708,2.1e-05,0.565329,0.0,1.0,21.0,231.0,250.0,16.0,504.0,8.0,246.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,2,1,1,0.8169,success,0.131161,0.131161,0.0,0.00126,0.0,1.9e-05,0.000435,0.004495,0.626066,3.3e-05,0.810415,0.0,1.0,37.0,260.0,294.0,20.0,599.0,22.0,283.0,4.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,3,1,1,0.7688,success,0.179005,0.179005,0.0,0.001287,0.0,1.9e-05,0.000388,0.00564,0.589914,3.9e-05,0.761233,0.0,1.0,34.0,269.0,300.0,21.0,604.0,8.0,296.0,7.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,4,1,1,1.0291,success,0.195418,0.195418,0.0,0.001277,0.0,1.8e-05,0.00048,0.006009,0.840766,2.1e-05,1.021066,0.0,1.0,38.0,281.0,317.0,19.0,646.0,24.0,305.0,6.0,0.0,0.0,0.0
