Tue Mar 17 10:00:24 2026    /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/reports/_support/plan_profile_stage3_seed0_20260317_100021.prof

         1472457 function calls (1434570 primitive calls) in 0.965 seconds

   Ordered by: cumulative time
   List reduced from 1896 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.970    0.970 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:878(run_stage_trial)
        1    0.000    0.000    0.470    0.470 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:526(plan_pose_rrt)
       45    0.001    0.000    0.462    0.010 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:429(extend_toward)
      103    0.001    0.000    0.399    0.004 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:331(solve_dual_arm_pose_ik)
      225    0.001    0.000    0.372    0.002 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:268(solve_single_arm_ik)
        1    0.000    0.000    0.363    0.363 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:171(validate_stage_trajectory)
      225    0.335    0.001    0.335    0.001 {built-in method pybullet.calculateInverseKinematics}
        1    0.000    0.000    0.294    0.294 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:83(save_validation_plot)
        1    0.000    0.000    0.165    0.165 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.165    0.165 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
        2    0.000    0.000    0.117    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.117    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        2    0.000    0.000    0.117    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
        1    0.000    0.000    0.107    0.107 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3608(tight_layout)
        1    0.000    0.000    0.107    0.107 /opt/venv/lib/python3.10/site-packages/matplotlib/layout_engine.py:168(execute)
        1    0.000    0.000    0.106    0.106 /opt/venv/lib/python3.10/site-packages/matplotlib/_tight_layout.py:194(get_tight_layout_figure)
        2    0.000    0.000    0.106    0.053 /opt/venv/lib/python3.10/site-packages/matplotlib/_tight_layout.py:20(_auto_adjust_subplotpars)
     18/6    0.000    0.000    0.105    0.017 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:1395(_get_tightbbox_for_layout_only)
        6    0.000    0.000    0.105    0.017 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:4498(get_tightbbox)
        2    0.000    0.000    0.099    0.049 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:92(draw_wrapper)
    678/2    0.001    0.000    0.099    0.049 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:53(draw_wrapper)
        2    0.000    0.000    0.099    0.049 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3237(draw)
      8/2    0.000    0.000    0.098    0.049 /opt/venv/lib/python3.10/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
       24    0.000    0.000    0.098    0.004 /opt/venv/lib/python3.10/site-packages/matplotlib/axis.py:1337(get_tightbbox)
        6    0.000    0.000    0.095    0.016 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:3151(draw)
        1    0.000    0.000    0.093    0.093 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:767(setup_stage1_scene)
        1    0.000    0.000    0.090    0.090 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/env_manager/simulation.py:201(load_pybullet)
        1    0.090    0.090    0.090    0.090 {built-in method pybullet.loadURDF}
      153    0.005    0.000    0.088    0.001 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:469(collision_fn)
      132    0.002    0.000    0.087    0.001 /opt/venv/lib/python3.10/site-packages/matplotlib/axis.py:1276(_update_ticks)


