Tue Mar 17 10:00:21 2026    /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/reports/_support/plan_profile_stage1_seed0_20260317_100021.prof

         121814 function calls (120140 primitive calls) in 0.280 seconds

   Ordered by: cumulative time
   List reduced from 1493 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.280    0.280 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:878(run_stage_trial)
        1    0.000    0.000    0.185    0.185 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:767(setup_stage1_scene)
        1    0.000    0.000    0.174    0.174 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/env_manager/simulation.py:201(load_pybullet)
        1    0.174    0.174    0.174    0.174 {built-in method pybullet.loadURDF}
        1    0.000    0.000    0.073    0.073 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:171(validate_stage_trajectory)
        1    0.000    0.000    0.073    0.073 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:83(save_validation_plot)
        1    0.000    0.000    0.051    0.051 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.051    0.051 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
        2    0.000    0.000    0.047    0.024 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.047    0.024 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        2    0.000    0.000    0.047    0.024 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
        1    0.000    0.000    0.040    0.040 /opt/venv/lib/python3.10/site-packages/matplotlib/image.py:1526(imsave)
        1    0.000    0.000    0.039    0.039 /opt/venv/lib/python3.10/site-packages/PIL/Image.py:2476(save)
        1    0.000    0.000    0.037    0.037 /opt/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:1325(_save)
        1    0.000    0.000    0.037    0.037 /opt/venv/lib/python3.10/site-packages/PIL/ImageFile.py:641(_save)
        1    0.000    0.000    0.037    0.037 /opt/venv/lib/python3.10/site-packages/PIL/ImageFile.py:669(_encode_tile)
        2    0.037    0.018    0.037    0.018 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.014    0.014 /opt/venv/lib/python3.10/site-packages/matplotlib/pyplot.py:1622(subplots)
        1    0.000    0.000    0.013    0.013 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:785(subplots)
        1    0.000    0.000    0.013    0.013 /opt/venv/lib/python3.10/site-packages/matplotlib/gridspec.py:249(subplots)
        3    0.000    0.000    0.013    0.004 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:644(add_subplot)
        3    0.000    0.000    0.013    0.004 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:615(__init__)
        1    0.000    0.000    0.012    0.012 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:1072(build_validation_joint_path)
        2    0.000    0.000    0.012    0.006 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:331(solve_dual_arm_pose_ik)
        5    0.000    0.000    0.012    0.002 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:268(solve_single_arm_ik)
        5    0.011    0.002    0.011    0.002 {built-in method pybullet.calculateInverseKinematics}
        3    0.000    0.000    0.010    0.003 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:1445(clear)
        3    0.000    0.000    0.010    0.003 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:1313(__clear)
        1    0.000    0.000    0.009    0.009 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:526(plan_pose_rrt)
        2    0.000    0.000    0.008    0.004 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:92(draw_wrapper)


