resolution_label,position_res,rotation_res,stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
pos=0.050m rot=0.100rad,0.05,0.1,1,0,1,1,0.0156,success,0.0,0.0,0.0,1e-06,0.0,4.5e-05,0.00027,0.008018,0.0,0.000544,0.006514,0.0,1.0,18.0,333.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,1,1,1,0.0104,success,0.0,0.360217,0.0,0.0,0.0,1.9e-05,0.000202,0.004932,0.0,0.000368,0.004678,0.0,1.0,21.0,362.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,2,1,1,0.001,success,0.0,0.0,0.0,0.0,0.0,1.8e-05,4.3e-05,7e-05,0.0,4.6e-05,0.000746,0.0,1.0,2.0,62.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,3,1,1,0.0007,success,0.0,0.0,0.0,1e-06,0.0,1.9e-05,3e-06,2e-05,0.0,6.1e-05,0.000579,0.0,1.0,1.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,4,1,1,0.0235,success,0.0,0.0,0.0,0.0,0.0,3.3e-05,0.00038,0.01431,0.0,0.000577,0.008008,0.0,1.0,38.0,636.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,0,1,0,1.1954,collision_failure,0.417579,0.417579,0.0,1e-06,0.0,2.7e-05,0.001288,0.016595,1.161778,0.000101,1.17693,0.0,1.0,52.0,201.0,249.0,0.0,538.0,86.0,206.0,6.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,1,1,1,0.5925,success,0.360217,0.360217,0.0,1e-06,0.0,2.8e-05,0.000355,0.002587,0.582848,1.9e-05,0.589305,0.0,1.0,21.0,185.0,204.0,0.0,426.0,38.0,185.0,1.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,2,0,0,2.092,continuity_failure,0.0,0.0,0.0,1e-06,0.0,3.5e-05,0.001404,0.02863,2.042594,4.9e-05,2.061351,0.0,1.0,100.0,407.0,502.0,0.0,1092.0,184.0,410.0,4.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,3,1,0,1.644,collision_failure,0.381464,0.381464,0.0,0.0,0.0,3e-05,0.000953,0.02219,1.60613,5.6e-05,1.620454,0.0,1.0,84.0,362.0,441.0,0.0,957.0,152.0,365.0,4.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,4,1,1,0.8737,success,0.474049,0.474049,0.0,0.0,0.0,1.7e-05,0.000456,0.006426,0.857659,5.1e-05,0.866585,0.0,1.0,38.0,246.0,279.0,0.0,586.0,56.0,251.0,6.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,3,0,1,1,1.2091,success,0.407812,0.407812,0.0,0.001622,0.0,2.7e-05,0.001424,0.013404,1.073685,7.4e-05,1.192095,0.0,1.0,93.0,122.0,212.0,29.0,477.0,112.0,156.0,6.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,3,1,1,1,0.3006,success,0.360217,0.360217,0.0,0.00127,0.0,1.9e-05,0.000247,0.001479,0.227421,1.9e-05,0.29741,0.0,1.0,21.0,103.0,122.0,16.0,248.0,8.0,118.0,0.0,0.0,0.0,0.0
