resolution_label,position_res,rotation_res,stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
pos=0.050m rot=0.100rad,0.05,0.1,3,2,0,0,1.2964,collision_failure,0.0,0.0,0.0,0.001272,0.0,1.9e-05,0.001174,0.014596,1.114581,1.5e-05,1.278892,0.0,1.0,100.0,228.0,326.0,50.0,694.0,90.0,281.0,4.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,3,3,1,1,0.9616,success,0.357037,0.357037,0.0,0.001253,0.0,1.9e-05,0.000977,0.010848,0.805761,4.1e-05,0.948172,0.0,1.0,84.0,182.0,263.0,53.0,545.0,38.0,244.0,10.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,3,4,1,1,0.5928,success,0.474049,0.474049,0.0,0.00132,0.0,2e-05,0.0005,0.00314,0.499573,2.1e-05,0.587657,0.0,1.0,38.0,130.0,166.0,17.0,346.0,32.0,150.0,4.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,1,0,1,1,0.0221,success,0.0,0.0,0.0,1e-06,0.0,3.4e-05,0.000266,0.012023,0.0,0.000512,0.009111,0.0,1.0,18.0,503.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,1,1,1,1,0.016,success,0.0,0.221971,0.0,0.0,0.0,2.6e-05,0.000232,0.007505,0.0,0.000324,0.00779,0.0,1.0,21.0,561.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,1,2,1,1,0.0015,success,0.0,0.0,0.0,0.0,0.0,2.7e-05,3.4e-05,9.2e-05,0.0,5.6e-05,0.001197,0.0,1.0,2.0,95.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,1,3,1,1,0.0007,success,0.0,0.0,0.0,0.0,0.0,1.7e-05,3e-06,1.9e-05,0.0,5.4e-05,0.000577,0.0,1.0,1.0,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,1,4,1,1,0.0362,success,0.0,0.0,0.0,0.0,0.0,2.9e-05,0.000399,0.022424,0.0,0.000547,0.012597,0.0,1.0,38.0,954.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,0,1,0,0.6206,collision_failure,0.470775,0.470775,0.0,1e-06,0.0,3.2e-05,0.00034,0.003878,0.605998,6.3e-05,0.616076,0.0,1.0,18.0,193.0,208.0,0.0,431.0,30.0,193.0,1.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,1,1,1,0.8805,success,0.221971,0.221971,0.0,0.0,0.0,2.9e-05,0.000302,0.004232,0.865598,1.9e-05,0.87575,0.0,1.0,21.0,315.0,334.0,0.0,687.0,40.0,314.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,2,0,0,2.1629,continuity_failure,0.0,0.0,0.0,0.0,0.0,3.3e-05,0.001261,0.034161,2.106725,0.000221,2.126807,0.0,1.0,100.0,440.0,536.0,0.0,1166.0,190.0,441.0,2.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,3,0,0,2.4549,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.001113,0.047663,2.379705,8.5e-05,2.405259,0.0,1.0,100.0,688.0,779.0,0.0,1647.0,180.0,689.0,2.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,2,4,0,0,2.3706,ik_failure,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.001146,0.044855,2.301572,5.4e-05,2.323798,0.0,1.0,100.0,592.0,686.0,0.0,1467.0,190.0,591.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,0,0,0,1.2106,collision_failure,0.0,0.0,0.0,0.001605,0.0,2.6e-05,0.00142,0.012264,1.116452,0.0,1.194582,0.0,1.0,100.0,61.0,160.0,30.0,389.0,138.0,91.0,1.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,1,1,1,0.4427,success,0.221971,0.221971,0.0,0.001258,0.0,2.6e-05,0.000264,0.002208,0.335187,2.2e-05,0.438749,0.0,1.0,21.0,162.0,181.0,15.0,367.0,10.0,176.0,0.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,2,0,0,1.6267,collision_failure,0.0,0.0,0.0,0.001249,0.0,2e-05,0.001151,0.022115,1.369838,1.2e-05,1.599838,0.0,1.0,100.0,334.0,432.0,53.0,908.0,88.0,388.0,2.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,3,0,0,1.5939,collision_failure,0.0,0.0,0.0,0.001259,0.0,1.9e-05,0.00112,0.02112,1.364592,1.2e-05,1.569795,0.0,1.0,100.0,269.0,367.0,52.0,779.0,90.0,322.0,2.0,0.0,0.0,0.0
pos=0.030m rot=0.070rad,0.03,0.07,3,4,1,1,0.6685,success,0.401512,0.401512,0.0,0.001251,0.0,1.9e-05,0.000482,0.004542,0.543442,2.2e-05,0.661975,0.0,1.0,38.0,173.0,209.0,20.0,433.0,32.0,193.0,1.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,0,1,1,0.0303,success,0.0,0.0,0.0,1e-06,0.0,2.3e-05,0.000261,0.016477,0.0,0.000521,0.012805,0.0,1.0,18.0,724.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,1,1,1,0.0226,success,0.0,0.148119,0.0,0.0,0.0,3e-05,0.000234,0.010876,0.0,0.000351,0.010939,0.0,1.0,21.0,810.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,2,1,1,0.002,success,0.0,0.0,0.0,0.0,0.0,2e-05,2.4e-05,0.000119,0.0,4.9e-05,0.001737,0.0,1.0,2.0,137.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,3,1,1,0.001,success,0.0,0.0,0.0,0.0,0.0,2.8e-05,3e-06,3.5e-05,0.0,2.8e-05,0.000821,0.0,1.0,1.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,1,4,1,1,0.071,success,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.000432,0.031149,0.0,0.022361,0.016765,0.0,1.0,38.0,1376.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,0,1,0,0.7535,collision_failure,0.349286,0.349286,0.0,1e-06,0.0,2.4e-05,0.000286,0.005001,0.735612,6.1e-05,0.74784,0.0,1.0,18.0,231.0,246.0,0.0,508.0,32.0,230.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,1,1,1,1.1498,success,0.168661,0.168661,0.0,0.0,0.0,1.7e-05,0.000303,0.005776,1.129219,1.8e-05,1.143403,0.0,1.0,21.0,458.0,477.0,0.0,973.0,40.0,457.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,2,0,0,3.0153,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.00117,0.050087,2.93126,3.8e-05,2.963364,0.0,1.0,100.0,814.0,909.0,0.0,1913.0,190.0,814.0,1.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,3,1,0,2.6845,collision_failure,0.408165,0.408165,0.0,0.0,0.0,1.9e-05,0.001051,0.050467,2.600704,8.9e-05,2.632368,0.0,1.0,84.0,854.0,930.0,0.0,1936.0,152.0,854.0,1.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,2,4,1,0,1.7557,collision_failure,0.33922,0.33922,0.0,1e-06,0.0,3.6e-05,0.000772,0.015818,1.717207,5.8e-05,1.738522,0.0,1.0,38.0,585.0,618.0,0.0,1270.0,68.0,584.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,0,1,1,1.5701,success,0.284233,0.284233,0.0,0.001619,0.0,2.5e-05,0.001405,0.031786,1.26781,6.7e-05,1.534644,0.0,1.0,93.0,278.0,368.0,58.0,769.0,66.0,335.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,1,1,1,0.5981,success,0.168661,0.168661,0.0,0.00124,0.0,1.8e-05,0.000291,0.003336,0.439271,2.3e-05,0.592954,0.0,1.0,21.0,231.0,250.0,16.0,504.0,8.0,246.0,0.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,2,1,1,0.8068,success,0.131161,0.131161,0.0,0.001302,0.0,1.8e-05,0.000405,0.004724,0.626776,3.3e-05,0.80016,0.0,1.0,37.0,264.0,298.0,22.0,608.0,24.0,286.0,1.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,3,1,1,2.1678,success,0.439732,0.439732,0.0,0.001589,0.0,2.7e-05,0.001698,0.039812,1.725614,6e-05,2.123052,0.0,1.0,84.0,497.0,577.0,54.0,1180.0,52.0,551.0,1.0,0.0,0.0,0.0
pos=0.020m rot=0.050rad,0.02,0.05,3,4,1,1,0.953,success,0.324276,0.324276,0.0,0.001306,0.0,2.2e-05,0.000587,0.006788,0.754834,2.1e-05,0.944052,0.0,1.0,38.0,253.0,289.0,24.0,591.0,26.0,276.0,0.0,0.0,0.0,0.0
