Tue Mar 17 10:00:22 2026    /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/reports/_support/plan_profile_stage2_seed0_20260317_100021.prof

         1073946 function calls (1043150 primitive calls) in 0.952 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.955    0.955 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:878(run_stage_trial)
        1    0.000    0.000    0.470    0.470 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:171(validate_stage_trajectory)
        1    0.000    0.000    0.400    0.400 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:83(save_validation_plot)
        1    0.000    0.000    0.369    0.369 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:526(plan_pose_rrt)
       90    0.001    0.000    0.367    0.004 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:331(solve_dual_arm_pose_ik)
       18    0.000    0.000    0.366    0.020 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:429(extend_toward)
      196    0.001    0.000    0.345    0.002 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:268(solve_single_arm_ik)
      196    0.311    0.002    0.311    0.002 {built-in method pybullet.calculateInverseKinematics}
        1    0.000    0.000    0.187    0.187 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.186    0.186 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
        1    0.000    0.000    0.139    0.139 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3608(tight_layout)
        1    0.000    0.000    0.139    0.139 /opt/venv/lib/python3.10/site-packages/matplotlib/layout_engine.py:168(execute)
        1    0.000    0.000    0.137    0.137 /opt/venv/lib/python3.10/site-packages/matplotlib/_tight_layout.py:194(get_tight_layout_figure)
        2    0.000    0.000    0.136    0.068 /opt/venv/lib/python3.10/site-packages/matplotlib/_tight_layout.py:20(_auto_adjust_subplotpars)
     18/6    0.000    0.000    0.135    0.022 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:1395(_get_tightbbox_for_layout_only)
        6    0.000    0.000    0.135    0.022 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:4498(get_tightbbox)
        2    0.000    0.000    0.128    0.064 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.128    0.064 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        2    0.000    0.000    0.128    0.064 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
       24    0.000    0.000    0.126    0.005 /opt/venv/lib/python3.10/site-packages/matplotlib/axis.py:1337(get_tightbbox)
        2    0.000    0.000    0.119    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:92(draw_wrapper)
    618/2    0.001    0.000    0.119    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:53(draw_wrapper)
        2    0.000    0.000    0.119    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3237(draw)
      8/2    0.000    0.000    0.118    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
        6    0.000    0.000    0.114    0.019 /opt/venv/lib/python3.10/site-packages/matplotlib/axes/_base.py:3151(draw)
      132    0.003    0.000    0.111    0.001 /opt/venv/lib/python3.10/site-packages/matplotlib/axis.py:1276(_update_ticks)
        1    0.000    0.000    0.108    0.108 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:767(setup_stage1_scene)
        1    0.000    0.000    0.104    0.104 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/env_manager/simulation.py:201(load_pybullet)
        1    0.104    0.104    0.104    0.104 {built-in method pybullet.loadURDF}
        1    0.000    0.000    0.065    0.065 /opt/venv/lib/python3.10/site-packages/matplotlib/image.py:1526(imsave)


