stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
1,0,1,1,0.0427,success,0.0,0.0,0.0,1e-06,0.0,3.7e-05,0.0004,0.017467,0.0,0.000678,0.022675,0.0,1.0,18.0,724.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0.0229,success,0.0,0.148119,0.0,0.0,0.0,2.8e-05,0.000279,0.010877,0.0,0.00055,0.010936,0.0,1.0,21.0,810.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1,0.0019,success,0.0,0.0,0.0,1e-06,0.0,1.7e-05,2e-05,0.000109,0.0,4.6e-05,0.001655,0.0,1.0,2.0,137.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,0.0009,success,0.0,0.0,0.0,0.0,0.0,2e-05,3e-06,1.8e-05,0.0,3.2e-05,0.000769,0.0,1.0,1.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,1,0.0475,success,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000424,0.029001,0.0,0.000591,0.017239,0.0,1.0,38.0,1376.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,0,0.7133,collision_failure,0.349286,0.349286,0.0,1e-06,0.0,2.2e-05,0.000365,0.004787,0.695555,5.5e-05,0.707506,0.0,1.0,18.0,231.0,246.0,0.0,508.0,32.0,230.0,0.0,0.0,0.0,0.0
2,1,1,1,1.1262,success,0.168661,0.168661,0.0,0.0,0.0,3.4e-05,0.00032,0.005644,1.105756,1.8e-05,1.119947,0.0,1.0,21.0,458.0,477.0,0.0,973.0,40.0,457.0,0.0,0.0,0.0,0.0
2,2,0,0,3.0186,continuity_failure,0.0,0.0,0.0,0.0,0.0,3.7e-05,0.001116,0.044702,2.942325,3.4e-05,2.972068,0.0,1.0,97.0,803.0,895.0,0.0,1882.0,184.0,803.0,1.0,0.0,0.0,0.0
2,3,1,0,2.6083,collision_failure,0.408165,0.408165,0.0,0.0,0.0,1.7e-05,0.000922,0.047126,2.531375,8.1e-05,2.559695,0.0,1.0,84.0,854.0,930.0,0.0,1936.0,152.0,854.0,1.0,0.0,0.0,0.0
2,4,1,0,1.71,collision_failure,0.33922,0.33922,0.0,0.0,0.0,2.8e-05,0.000487,0.014295,1.675341,4.9e-05,1.694819,0.0,1.0,38.0,585.0,618.0,0.0,1270.0,68.0,584.0,0.0,0.0,0.0,0.0
3,0,1,1,1.532,success,0.284233,0.284233,0.0,0.001461,0.0,2.3e-05,0.001329,0.03012,1.241846,6.3e-05,1.498085,0.0,1.0,93.0,278.0,368.0,58.0,769.0,66.0,335.0,0.0,0.0,0.0,0.0
3,1,1,1,0.5647,success,0.168661,0.168661,0.0,0.001215,0.0,1.7e-05,0.00025,0.003059,0.416639,2e-05,0.560032,0.0,1.0,21.0,231.0,250.0,16.0,504.0,8.0,246.0,0.0,0.0,0.0,0.0
3,2,1,1,0.8005,success,0.131161,0.131161,0.0,0.001225,0.0,1.9e-05,0.000414,0.004563,0.623648,3.1e-05,0.794088,0.0,1.0,37.0,264.0,298.0,22.0,608.0,24.0,286.0,1.0,0.0,0.0,0.0
3,3,1,1,1.8548,success,0.439732,0.439732,0.0,0.001265,0.0,2e-05,0.001049,0.026633,1.498426,4.6e-05,1.825503,0.0,1.0,84.0,497.0,577.0,54.0,1180.0,52.0,551.0,1.0,0.0,0.0,0.0
3,4,1,1,0.9229,success,0.324276,0.324276,0.0,0.001221,0.0,2e-05,0.00048,0.006179,0.727163,2.1e-05,0.914663,0.0,1.0,38.0,253.0,289.0,24.0,591.0,26.0,276.0,0.0,0.0,0.0,0.0
